galaxy_name,n_points,mean_err_vobs_kms,max_radius_kpc,hubble_type,distance_quality,inclination_deg,inclination_error_deg,suggested_class,suggested_proxy,label_confidence,reason
NGC5585,24,2.223333333333333,10.96,7,1,51.0,2.0,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
NGC5907,19,3.5789473684210527,50.33,5,2,88.0,2.0,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
NGC5985,33,6.094242424242425,34.72,3,1,60.0,2.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
NGC6015,44,3.9318181818181817,29.23,6,1,60.0,2.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
NGC6195,23,7.274347826086957,36.43,3,1,62.0,5.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
NGC6503,31,2.3548387096774195,23.5,6,2,74.0,2.0,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
NGC6674,15,8.266666666666667,72.41,3,1,54.0,6.0,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag; disk-like Hubble type
NGC6789,4,5.3149999999999995,0.71,11,2,43.0,7.0,C,0.0,Low,few rotation-curve points; short radial coverage; good distance-quality flag; irregular/dwarf Hubble type
NGC6946,58,6.241379310344827,20.4,6,2,38.0,2.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag; disk-like Hubble type
NGC7331,36,5.138888888888889,36.31,3,3,75.0,2.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
NGC7793,46,6.9347826086956506,7.87,7,2,47.0,9.0,B,0.5,Medium,many rotation-curve points; good distance-quality flag; disk-like Hubble type
NGC7814,18,5.610555555555554,19.53,2,2,90.0,1.0,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag
PGC51017,6,2.256666666666667,3.63,11,2,66.0,3.0,C,0.0,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC00128,22,2.6354545454545457,53.75,8,1,57.0,10.0,B,0.5,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag
UGC00191,9,2.2966666666666664,9.98,9,1,45.0,5.0,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC00634,4,2.2725,18.01,9,1,37.0,8.0,B,0.5,Low,few rotation-curve points; low mean Vobs error; extended radial coverage; good distance-quality flag
UGC00731,12,2.7966666666666664,10.91,10,1,57.0,3.0,B,0.5,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC00891,5,1.2840000000000003,7.39,9,1,60.0,5.0,B,0.5,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag
UGC01230,11,11.372727272727273,36.54,9,1,22.0,10.0,C,0.0,Low,high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag
UGC01281,25,4.8948,4.99,8,2,90.0,1.0,C,0.0,Low,many rotation-curve points; face-on or edge-on inclination risk; good distance-quality flag
UGC02023,5,8.69,3.78,10,1,19.0,10.0,C,0.0,Low,few rotation-curve points; high mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type
UGC02259,8,2.2125,8.14,8,1,41.0,3.0,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC02455,8,3.64,4.03,10,1,51.0,5.0,B,0.5,Medium,well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC02487,17,6.98235294117647,80.38,0,1,36.0,5.0,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag
UGC02885,19,10.0,74.07,5,1,64.0,4.0,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
UGC02916,43,8.183488372093024,38.0,2,1,50.0,5.0,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC02953,115,6.850608695652174,62.39,2,1,50.0,4.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC03205,48,7.545208333333331,40.04,2,1,67.0,4.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC03546,30,15.526666666666666,29.23,1,1,55.0,5.0,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC03580,47,5.185957446808511,27.06,1,1,63.0,4.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC04278,25,6.0451999999999995,6.69,7,1,90.0,3.0,B,0.5,Low,many rotation-curve points; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
UGC04305,22,3.5599999999999996,5.52,10,2,40.0,10.0,C,0.0,Low,many rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
UGC04325,8,3.0525,5.59,9,1,41.0,3.0,B,0.5,Medium,well-conditioned inclination; good distance-quality flag
UGC04483,8,1.7975,1.21,10,2,58.0,3.0,B,0.5,Low,low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC04499,9,2.948888888888889,8.18,8,1,50.0,3.0,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC05005,11,12.873636363636365,28.61,10,1,41.0,10.0,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
UGC05253,73,5.951232876712327,53.29,2,1,37.0,4.0,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag
UGC05414,6,2.4516666666666667,4.11,10,1,55.0,3.0,C,0.0,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC05716,12,1.2566666666666666,12.37,9,1,54.0,10.0,B,0.5,Medium,low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag
UGC05721,23,5.344782608695649,6.74,7,1,61.0,5.0,A,1.0,Medium,many rotation-curve points; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
UGC05750,11,8.536363636363637,22.85,8,1,64.0,10.0,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag
UGC05764,10,1.302,3.62,10,1,60.0,10.0,C,0.0,Low,low mean Vobs error; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
UGC05829,11,5.0600000000000005,6.91,10,1,34.0,10.0,C,0.0,Low,large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
UGC05918,8,3.93,4.46,10,1,46.0,5.0,B,0.5,Medium,well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC05986,15,3.267333333333333,9.41,9,1,90.0,3.0,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag
UGC05999,5,5.0,16.22,10,1,22.0,10.0,C,0.0,Low,few rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type
UGC06399,9,4.966666666666666,7.85,9,4,75.0,2.0,B,0.5,Medium,well-conditioned inclination
UGC06446,17,5.000000000000001,10.22,7,1,51.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
UGC06614,13,14.099999999999998,64.59,1,1,36.0,10.0,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag
UGC06628,7,8.269999999999998,7.69,9,1,20.0,10.0,C,0.0,Low,few rotation-curve points; high mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag
UGC06667,9,3.4111111111111105,7.85,6,4,89.0,1.0,C,0.0,Low,face-on or edge-on inclination risk; disk-like Hubble type
UGC06786,45,7.273555555555557,34.05,0,1,64.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC06787,71,6.790000000000001,37.19,2,1,66.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC06818,8,5.15625,6.98,9,4,75.0,3.0,B,0.5,Medium,well-conditioned inclination
UGC06917,11,4.163636363636363,10.47,9,4,56.0,2.0,B,0.5,Medium,extended radial coverage; well-conditioned inclination
UGC06923,6,5.375,5.16,10,4,65.0,2.0,C,0.0,Low,few rotation-curve points; well-conditioned inclination; irregular/dwarf Hubble type
UGC06930,10,6.45,16.61,7,4,32.0,5.0,B,0.5,Medium,extended radial coverage; disk-like Hubble type
UGC06973,9,5.688888888888889,7.85,2,4,71.0,3.0,B,0.5,Medium,well-conditioned inclination
UGC06983,17,6.094117647058822,15.68,6,4,49.0,1.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; disk-like Hubble type
UGC07089,12,5.191666666666666,9.16,8,4,80.0,3.0,B,0.5,Medium,extended radial coverage; well-conditioned inclination
UGC07125,13,2.616153846153846,18.68,9,1,90.0,3.0,B,0.5,Low,low mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag
UGC07151,11,2.6045454545454545,5.5,6,2,90.0,3.0,B,0.5,Low,low mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
UGC07232,4,3.3,0.82,10,2,59.0,5.0,C,0.0,Low,few rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC07261,7,5.660000000000001,6.67,8,1,30.0,10.0,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag
UGC07323,10,3.87,5.82,8,1,47.0,3.0,B,0.5,Medium,well-conditioned inclination; good distance-quality flag
UGC07399,10,3.379,6.13,8,1,55.0,3.0,B,0.5,Medium,well-conditioned inclination; good distance-quality flag
UGC07524,31,3.490322580645162,10.69,9,2,46.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC07559,7,3.23,2.53,10,2,61.0,3.0,C,0.0,Low,few rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC07577,9,3.17,1.69,10,2,63.0,3.0,C,0.0,Low,short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC07603,12,2.89,4.11,7,1,78.0,3.0,A,1.0,Medium,low mean Vobs error; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
UGC07608,8,6.6899999999999995,4.78,10,1,25.0,10.0,C,0.0,Low,face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type
UGC07690,7,4.31,4.13,10,1,41.0,5.0,C,0.0,Low,few rotation-curve points; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC07866,7,4.07,2.32,10,2,44.0,5.0,C,0.0,Low,few rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC08286,17,2.216470588235294,8.04,6,2,90.0,3.0,B,0.5,Low,many rotation-curve points; low mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
UGC08490,30,3.6899999999999986,10.15,9,2,50.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC08550,11,2.1236363636363635,5.36,7,1,90.0,3.0,B,0.5,Low,low mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
UGC08699,41,7.649512195121949,25.7,2,1,73.0,9.0,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag
UGC08837,8,2.53875,4.2,10,2,80.0,5.0,B,0.5,Medium,low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGC09037,22,7.230909090909091,27.96,6,1,65.0,5.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
UGC09133,68,5.943823529411765,108.31,2,1,53.0,6.0,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag
UGC09992,5,5.66,3.89,10,1,30.0,10.0,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
UGC10310,7,5.06,7.74,9,1,34.0,6.0,C,0.0,Low,few rotation-curve points; good distance-quality flag
UGC11455,36,7.7555555555555555,41.93,6,1,90.0,1.0,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
UGC11557,12,7.875000000000001,10.56,8,1,30.0,10.0,B,0.5,Medium,extended radial coverage; large inclination uncertainty; good distance-quality flag
UGC11820,10,2.9379999999999997,15.82,9,1,45.0,10.0,B,0.5,Medium,low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag
UGC11914,65,9.740153846153849,9.83,2,1,31.0,5.0,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag
UGC12506,31,14.44838709677419,49.99,6,1,86.0,4.0,C,0.0,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type
UGC12632,15,3.560666666666667,10.66,9,1,46.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag
UGC12732,16,3.6268749999999996,15.4,9,1,39.0,6.0,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag
UGCA281,7,1.78,1.08,11,2,67.0,3.0,C,0.0,Low,few rotation-curve points; low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
UGCA442,8,2.00375,6.33,9,2,64.0,7.0,B,0.5,Medium,low mean Vobs error; good distance-quality flag
UGCA444,36,3.9086111111111115,2.62,10,2,78.0,4.0,B,0.5,Low,many rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
