GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
NGC5985,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6015,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6195,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6503,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6674,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6789,C,0.0,Low,few rotation-curve points; short radial coverage; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6946,A,1.0,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC7331,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC7793,B,0.5,Medium,many rotation-curve points; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC7814,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
PGC51017,C,0.0,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00128,B,0.5,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00191,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00634,B,0.5,Low,few rotation-curve points; low mean Vobs error; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00731,B,0.5,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00891,B,0.5,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC01230,C,0.0,Low,high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC01281,C,0.0,Low,many rotation-curve points; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02023,C,0.0,Low,few rotation-curve points; high mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02259,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02455,B,0.5,Medium,well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02487,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02885,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02916,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02953,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC03205,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC03546,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC03580,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04278,B,0.5,Low,many rotation-curve points; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04305,C,0.0,Low,many rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04325,B,0.5,Medium,well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04483,B,0.5,Low,low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04499,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05005,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05253,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05414,C,0.0,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05716,B,0.5,Medium,low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05721,A,1.0,Medium,many rotation-curve points; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05750,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05764,C,0.0,Low,low mean Vobs error; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05829,C,0.0,Low,large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05918,B,0.5,Medium,well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05986,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05999,C,0.0,Low,few rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06399,B,0.5,Medium,well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06446,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06614,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06628,C,0.0,Low,few rotation-curve points; high mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06667,C,0.0,Low,face-on or edge-on inclination risk; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06786,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06787,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06818,B,0.5,Medium,well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06917,B,0.5,Medium,extended radial coverage; well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06923,C,0.0,Low,few rotation-curve points; well-conditioned inclination; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06930,B,0.5,Medium,extended radial coverage; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06973,B,0.5,Medium,well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06983,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07089,B,0.5,Medium,extended radial coverage; well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07125,B,0.5,Low,low mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07151,B,0.5,Low,low mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07232,C,0.0,Low,few rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07261,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07323,B,0.5,Medium,well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07399,B,0.5,Medium,well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07524,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07559,C,0.0,Low,few rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07577,C,0.0,Low,short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07603,A,1.0,Medium,low mean Vobs error; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07608,C,0.0,Low,face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07690,C,0.0,Low,few rotation-curve points; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC07866,C,0.0,Low,few rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC08286,B,0.5,Low,many rotation-curve points; low mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC08490,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC08550,B,0.5,Low,low mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC08699,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC08837,B,0.5,Medium,low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC09037,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC09133,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC09992,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC10310,C,0.0,Low,few rotation-curve points; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC11455,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC11557,B,0.5,Medium,extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC11820,B,0.5,Medium,low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC11914,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC12506,C,0.0,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC12632,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC12732,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGCA281,C,0.0,Low,few rotation-curve points; low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGCA442,B,0.5,Medium,low mean Vobs error; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGCA444,B,0.5,Low,many rotation-curve points; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
