GalaxyName,Class,Role,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR,FigureUse
NGC2403,A,regular external A example,0.160000000,24.500000000,2.830000000,16.411948391,0.0509349877759,0.0380741550989,0.0444700367402,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.260000000,35.300000000,2.460000000,24.982082579,0.0560854593265,0.0411476842555,0.0495060404471,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.360000000,43.200000000,1.120000000,33.268255891,0.0108162958581,0.00583569283975,0.00411929855819,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.460000000,52.000000000,1.250000000,40.144181397,0.0279430423368,0.0104408560108,0.0213089012526,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.560000000,60.900000000,2.930000000,45.169414984,0.0737042873116,0.055963915405,0.0671144276227,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.660000000,65.800000000,1.250000000,47.866238624,0.0860408232462,0.0685955337157,0.0793981754248,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.760000000,71.700000000,1.250000000,50.195617837,0.117559688501,0.100407433068,0.110884144167,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.860000000,74.600000000,1.600000000,51.608743445,0.119152514488,0.102450889227,0.112456003476,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.960000000,74.600000000,1.030000000,53.093491597,0.0825851825374,0.0662469640213,0.0758920551516,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.060000000,76.600000000,1.120000000,54.706892619,0.0729855326707,0.0569188782263,0.0663041179014,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.160000000,78.500000000,1.600000000,56.394174788,0.0624790814107,0.0466173253363,0.0558107305893,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.270000000,83.400000000,1.800000000,58.337798210,0.0855225396255,0.0698202669883,0.0788664755377,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.360000000,86.400000000,1.600000000,60.489901223,0.0852694594936,0.069539339349,0.0786111290837,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.470000000,87.400000000,1.410000000,62.449174534,0.0626669366236,0.0470348313139,0.0560167939754,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.570000000,90.300000000,1.410000000,64.462057445,0.0632077832316,0.047592209483,0.0565590780219,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.670000000,93.300000000,1.600000000,66.743421399,0.0623570529028,0.0466868995678,0.0557036626112,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.770000000,93.300000000,1.410000000,68.790596741,0.0325067687522,0.0168207732664,0.0258520517734,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.870000000,95.200000000,1.250000000,70.462785568,0.0275455156762,0.0119079080704,0.0208948981002,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.970000000,97.200000000,1.600000000,72.037381268,0.0249752869539,0.00939284085846,0.0183295088704,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.080000000,99.100000000,2.020000000,73.724637334,0.0198972140825,0.00437086073851,0.0132565289562,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.180000000,98.200000000,2.020000000,75.354331992,0.0116076612412,0.0271114749059,0.0182462534243,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.280000000,98.200000000,1.600000000,75.845224306,0.0232291108668,0.0385109176958,0.0298458258266,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.370000000,98.200000000,1.000000000,75.492742366,0.0263760797633,0.0413261332202,0.0329568779485,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.470000000,97.200000000,1.120000000,75.103761224,0.0399374078359,0.0545373031829,0.0464783363053,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.570000000,98.200000000,1.410000000,74.818554517,0.0337554884008,0.0480437255692,0.0402616118734,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.680000000,98.200000000,1.120000000,74.399678427,0.0370606207365,0.0510123360716,0.0435329927319,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.780000000,98.200000000,1.600000000,74.069038741,0.0403228315592,0.0540004421081,0.0467736003459,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.880000000,99.100000000,2.690000000,73.765396359,0.0345299378262,0.0479601503137,0.0409687709997,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,2.980000000,100.000000000,2.690000000,73.584188519,0.0297449441104,0.0429673969601,0.0361821442929,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.080000000,102.000000000,3.160000000,73.617860605,0.0159491134778,0.0290119316868,0.0223925453935,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.190000000,101.000000000,3.400000000,73.683822173,0.0324834053174,0.0453921458616,0.038941532818,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.290000000,101.000000000,3.400000000,74.031429474,0.0409322582695,0.0537484178092,0.0474047435993,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.390000000,103.000000000,2.930000000,74.476833311,0.0304609967972,0.0432039597044,0.036948662429,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.490000000,107.000000000,2.460000000,74.865240933,0.000835890824111,0.0135069829866,0.00734258808351,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.590000000,110.000000000,2.460000000,75.022735554,0.0204865185833,0.00790131321613,0.0139501640036,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.690000000,112.000000000,3.400000000,75.412497638,0.0303075553208,0.0177786942923,0.0237463885876,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.790000000,114.000000000,5.100000000,75.544358161,0.0421535375933,0.0296946164118,0.0355534572097,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.900000000,118.000000000,5.100000000,75.467780542,0.0722248784692,0.0598460220464,0.0655638389648,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,3.990000000,118.000000000,4.850000000,75.349379228,0.0691821776942,0.0568598735866,0.0624603907063,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,4.470000000,118.000000000,5.360000000,74.904261895,0.0526552108714,0.0404463643588,0.0455074193381,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,4.970000000,121.000000000,2.570000000,74.052129612,0.0659144097365,0.0535100493733,0.0580626494889,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,5.470000000,124.000000000,0.220000000,72.942635680,0.0825889841435,0.0696425345409,0.0737407383229,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,5.960000000,125.000000000,0.880000000,71.378067009,0.0887490844924,0.0748450949247,0.0785190448151,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,6.460000000,126.000000000,0.450000000,69.771734965,0.0964691953363,0.0812017895301,0.0844993977407,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,6.960000000,126.000000000,0.550000000,68.676599727,0.0929375923151,0.0761705567269,0.0791782927493,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,7.450000000,126.000000000,0.450000000,67.710119628,0.0895939302973,0.0711737448084,0.0739384846742,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,7.950000000,126.000000000,0.240000000,66.837807041,0.0861013669204,0.0658583438805,0.0684104072861,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,8.450000000,127.000000000,1.450000000,66.279956246,0.088364411115,0.066353298166,0.0687354069453,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,8.940000000,128.000000000,1.120000000,65.895864438,0.0898073229029,0.0660894137361,0.06833150384,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,9.440000000,128.000000000,1.680000000,65.527033734,0.0836792470455,0.0581691491874,0.0602833014492,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,9.940000000,127.000000000,2.560000000,65.060687823,0.0712461631166,0.0437929509502,0.0457855145404,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,10.430000000,127.000000000,1.240000000,64.946421379,0.0638507462517,0.0347732302884,0.0366750998476,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,10.930000000,128.000000000,0.210000000,64.745153100,0.0654352173765,0.0345958582768,0.036408599733,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,11.430000000,130.000000000,1.130000000,64.417891925,0.0763637507657,0.0436014641486,0.0453261216601,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,11.920000000,130.000000000,2.230000000,63.922404132,0.0740419207207,0.0391577102115,0.040794493649,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,12.420000000,132.000000000,2.680000000,63.564017337,0.0858225942752,0.0489066163188,0.0504669908923,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,12.920000000,133.000000000,2.680000000,63.123347107,0.0910807522211,0.0519962674967,0.0534821775639,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,13.420000000,133.000000000,3.370000000,62.362576518,0.0924890490067,0.0507545764926,0.0521579327086,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,13.910000000,133.000000000,3.810000000,61.468823805,0.0958445174432,0.0512133509688,0.0525354421739,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,14.410000000,133.000000000,2.560000000,60.713505087,0.0979967555328,0.0505517172267,0.0518024425731,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,14.910000000,134.000000000,0.560000000,60.000723746,0.107539169197,0.0572737839663,0.0584593611734,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,15.400000000,134.000000000,0.790000000,59.242800406,0.110548736021,0.0573492236595,0.0584728634296,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,15.900000000,133.000000000,0.670000000,58.427678800,0.106954747301,0.0506072811943,0.05167019668,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,16.400000000,134.000000000,2.350000000,57.581762738,0.119059909571,0.0594198624055,0.0604247607863,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,16.890000000,134.000000000,4.130000000,56.591625264,0.125846925082,0.0625635626095,0.0635099337163,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,17.390000000,136.000000000,3.910000000,55.690348805,0.146699869517,0.0798089915044,0.0807025032026,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,17.890000000,136.000000000,6.380000000,54.727595416,0.153879853394,0.0831391733807,0.0839811317612,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,18.380000000,135.000000000,8.390000000,53.806112106,0.153658029778,0.0790820136214,0.0798769688146,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,18.880000000,133.000000000,7.830000000,52.875880135,0.14630356067,0.0677251298912,0.0684750968945,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,19.380000000,134.000000000,6.260000000,52.259746459,0.157640629408,0.0757598561821,0.0764754750773,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,19.870000000,136.000000000,5.600000000,51.972859744,0.172275835382,0.0879504476171,0.0886420990305,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,20.370000000,135.000000000,5.240000000,51.688220128,0.164750279171,0.0779500152613,0.0786185679795,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,20.870000000,134.000000000,3.120000000,51.441591636,0.156801500867,0.0676295297098,0.0682769724962,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,0.220000000,50.200000000,7.500000000,24.166778850,0.457663194369,0.442026603014,0.451012664377,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,0.660000000,62.200000000,7.510000000,34.432496279,0.252897608509,0.239733162316,0.246459026465,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,1.110000000,72.400000000,5.350000000,35.422106798,0.294147137667,0.281805788345,0.286450366307,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,1.550000000,73.200000000,3.310000000,32.818635712,0.292833369438,0.276450754611,0.279524861218,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,2.000000000,72.900000000,3.210000000,30.296103710,0.293773891445,0.268515739168,0.270646872331,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,2.450000000,72.600000000,2.730000000,27.731326149,0.311273378998,0.272915899551,0.274426026476,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,2.890000000,71.500000000,3.410000000,25.527032730,0.322521651813,0.268766233691,0.269878742518,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,3.340000000,71.100000000,4.380000000,23.667570640,0.343856955665,0.273224358379,0.2740677016,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,3.780000000,71.400000000,4.600000000,22.151270844,0.37348788678,0.285966780954,0.286628814639,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,4.220000000,71.500000000,5.680000000,21.277636147,0.385598056897,0.284195473734,0.284747738816,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,4.660000000,71.500000000,6.200000000,20.613335489,0.39267155017,0.278571588441,0.279044365326,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,5.110000000,71.300000000,6.430000000,20.115203206,0.393352600419,0.267620515709,0.268033447715,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,5.560000000,71.800000000,9.680000000,19.636593391,0.405050526814,0.267888226751,0.26825171909,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC1705,C,disturbed external C example,6.000000000,71.500000000,10.500000000,19.842703949,0.382439559857,0.240370664673,0.240715296657,paper1_external_label_contrast_visual_context_only_not_endpoint
